Epoch,Iter,Train_loss,Val_loss,Val_acc,Test_acc,Mask
1,99,5.105445,-1,-1,49.5875
2,198,5.019356,-1,-1,45.4
3,297,4.955164,-1,-1,43.4125
4,396,4.900367,-1,-1,41.8
5,495,4.850002,-1,-1,40.9875
6,594,4.801223,-1,-1,41.0375
7,693,4.753285,-1,-1,40.35
8,792,4.707148,-1,-1,40.275
9,891,4.66167,-1,-1,40.4875
10,990,4.615343,-1,-1,40.4
11,1089,4.572333,-1,-1,40.375
12,1188,4.527504,-1,-1,40.3875
13,1287,4.484426,-1,-1,40.45
14,1386,4.442011,-1,-1,40.7875
15,1485,4.401633,-1,-1,40.775
16,1584,4.362827,-1,-1,40.5125
17,1683,4.323927,-1,-1,40.975
18,1782,4.28747,-1,-1,40.6625
19,1881,4.248957,-1,-1,40.775
20,1980,4.214715,-1,-1,40.7375
21,2079,4.179529,-1,-1,40.975
22,2178,4.150675,-1,-1,41.3
23,2277,4.120504,-1,-1,40.9375
24,2376,4.092926,-1,-1,41.5
25,2475,4.06336,-1,-1,41.3375
26,2574,4.037624,-1,-1,41.55
27,2673,4.012571,-1,-1,41.3125
28,2772,3.991294,-1,-1,41.35
29,2871,3.96869,-1,-1,41.65
30,2970,3.95043,-1,-1,41.5
31,3069,3.931311,-1,-1,41.5125
32,3168,3.914194,-1,-1,41.65
33,3267,3.901481,-1,-1,41.8375
34,3366,3.888948,-1,-1,41.625
35,3465,3.875653,-1,-1,41.975
36,3564,3.862998,-1,-1,41.775
37,3663,3.853185,-1,-1,42.0
38,3762,3.845355,-1,-1,41.7375
39,3861,3.839602,-1,-1,41.8375
40,3960,3.833056,-1,-1,42.075
41,4059,3.826689,-1,-1,41.8375
42,4158,3.822384,-1,-1,41.9375
43,4257,3.819466,-1,-1,41.975
44,4356,3.816126,-1,-1,41.9375
45,4455,3.813353,-1,-1,42.0125
46,4554,3.813621,-1,-1,42.0875
47,4653,3.812063,-1,-1,42.075
48,4752,3.810586,-1,-1,42.0625
49,4851,3.810479,-1,-1,42.1
50,4950,3.810475,3.908524,75.61738,42.0875
