Epoch,Iter,Train_loss,Val_loss,Val_acc,Test_acc,Mask
1,99,5.104937,-1,-1,49.55
2,198,5.01497,-1,-1,45.525
3,297,4.944767,-1,-1,42.975
4,396,4.883194,-1,-1,42.2375
5,495,4.823979,-1,-1,40.85
6,594,4.765835,-1,-1,41.2375
7,693,4.706591,-1,-1,40.7
8,792,4.647117,-1,-1,40.85
9,891,4.587213,-1,-1,40.65
10,990,4.527537,-1,-1,40.925
11,1089,4.466582,-1,-1,41.45
12,1188,4.404527,-1,-1,40.6125
13,1287,4.34443,-1,-1,40.7375
14,1386,4.283156,-1,-1,41.4875
15,1485,4.223873,-1,-1,41.7625
16,1584,4.163851,-1,-1,41.1625
17,1683,4.10552,-1,-1,41.4125
18,1782,4.050339,-1,-1,41.6875
19,1881,3.990319,-1,-1,41.775
20,1980,3.937056,-1,-1,41.8625
21,2079,3.884283,-1,-1,41.8
22,2178,3.834105,-1,-1,41.9375
23,2277,3.784413,-1,-1,42.275
24,2376,3.73712,-1,-1,42.375
25,2475,3.69118,-1,-1,42.6375
26,2574,3.650252,-1,-1,42.65
27,2673,3.610415,-1,-1,42.95
28,2772,3.574193,-1,-1,42.7875
29,2871,3.540099,-1,-1,42.7375
30,2970,3.506859,-1,-1,43.3375
31,3069,3.474571,-1,-1,42.9
32,3168,3.447111,-1,-1,43.275
33,3267,3.421912,-1,-1,43.0875
34,3366,3.402102,-1,-1,43.65
35,3465,3.380236,-1,-1,43.3125
36,3564,3.362182,-1,-1,43.3
37,3663,3.34598,-1,-1,43.6
38,3762,3.33343,-1,-1,43.3875
39,3861,3.318979,-1,-1,43.25
40,3960,3.309599,-1,-1,43.325
41,4059,3.299889,-1,-1,43.5625
42,4158,3.294077,-1,-1,43.4
43,4257,3.288612,-1,-1,43.4875
44,4356,3.282887,-1,-1,43.5625
45,4455,3.280943,-1,-1,43.55
46,4554,3.278842,-1,-1,43.6625
47,4653,3.275934,-1,-1,43.5875
48,4752,3.274765,-1,-1,43.6125
49,4851,3.277382,-1,-1,43.625
50,4950,3.272549,3.41461,79.962488,43.6125
