Mask
0.833598
0.85558
0.855046
0.856126
0.856804
0.860196
0.859794
0.861213
0.862193
0.863421
0.865529
0.866179
0.867435
0.868897
0.870185
0.870041
0.871337
0.872114
0.871716
0.872736
0.874139
0.873477
0.876782
0.875638
0.877439
0.876148
0.877272
0.8796
0.878245
0.879309
0.879827
0.879735
0.879943
0.879903
0.880369
0.88017
0.882071
0.8807
0.881282
0.881031
0.882059
0.883195
0.881322
0.88174
0.881146
0.880883
0.882091
0.881441
0.882183
0.881453
