Epoch,Iter,Train_loss,Val_loss,Val_acc,Test_acc,Mask
1,99,0.339367,-1,-1,52.9625
2,198,0.215254,-1,-1,53.7125
3,297,0.136613,-1,-1,53.65
4,396,0.085735,-1,-1,53.6875
5,495,0.061867,-1,-1,53.775
6,594,0.048535,-1,-1,53.8375
7,693,0.039184,-1,-1,53.7125
8,792,0.031827,-1,-1,53.55
9,891,0.023992,-1,-1,53.7375
10,990,0.019542,-1,-1,53.7375
11,1089,0.016784,-1,-1,53.6375
12,1188,0.016678,-1,-1,53.9
13,1287,0.015106,-1,-1,53.65
14,1386,0.011912,-1,-1,53.85
15,1485,0.012089,-1,-1,53.9625
16,1584,0.010453,-1,-1,53.825
17,1683,0.010464,-1,-1,53.875
18,1782,0.009451,-1,-1,53.7875
19,1881,0.007679,-1,-1,53.9375
20,1980,0.007172,-1,-1,53.95
21,2079,0.006884,-1,-1,53.825
22,2178,0.00738,-1,-1,53.65
23,2277,0.006512,-1,-1,53.55
24,2376,0.005476,-1,-1,53.6
25,2475,0.004908,-1,-1,53.55
26,2574,0.005177,-1,-1,53.875
27,2673,0.004601,-1,-1,53.7375
28,2772,0.004325,-1,-1,53.925
29,2871,0.004067,-1,-1,53.825
30,2970,0.004397,-1,-1,53.5125
31,3069,0.003826,-1,-1,53.625
32,3168,0.004221,-1,-1,53.7
33,3267,0.00386,-1,-1,53.7625
34,3366,0.003541,-1,-1,53.85
35,3465,0.003669,-1,-1,53.8625
36,3564,0.003203,-1,-1,53.925
37,3663,0.003422,-1,-1,53.825
38,3762,0.003097,-1,-1,53.9
39,3861,0.00342,-1,-1,54.075
40,3960,0.003239,-1,-1,54.1375
41,4059,0.002812,-1,-1,54.0375
42,4158,0.002713,-1,-1,54.0875
43,4257,0.002807,-1,-1,54.0375
44,4356,0.002911,-1,-1,54.0625
45,4455,0.002854,-1,-1,54.1125
46,4554,0.003435,-1,-1,54.0125
47,4653,0.002707,-1,-1,54.0125
48,4752,0.002887,-1,-1,54.0125
49,4851,0.002898,-1,-1,54.0375
50,4950,0.002573,0.052068,98.62457,54.0375
