Epoch,Iter,Train_loss,Val_loss,Val_acc,Test_acc,Mask
1,99,3.612933,-1,-1,51.2
2,198,3.060551,-1,-1,50.575
3,297,2.704194,-1,-1,50.8125
4,396,2.426524,-1,-1,51.8875
5,495,2.181896,-1,-1,52.3
6,594,1.969183,-1,-1,53.8875
7,693,1.765724,-1,-1,54.8125
8,792,1.582614,-1,-1,54.9875
9,891,1.41765,-1,-1,55.425
10,990,1.266297,-1,-1,55.875
11,1089,1.127619,-1,-1,56.0125
12,1188,1.00298,-1,-1,56.1875
13,1287,0.896408,-1,-1,56.3125
14,1386,0.800743,-1,-1,56.6625
15,1485,0.712197,-1,-1,56.625
16,1584,0.640031,-1,-1,56.4875
17,1683,0.576554,-1,-1,56.3625
18,1782,0.519342,-1,-1,56.65
19,1881,0.460853,-1,-1,56.6375
20,1980,0.421069,-1,-1,56.45
21,2079,0.384265,-1,-1,56.475
22,2178,0.35315,-1,-1,56.2
23,2277,0.322553,-1,-1,56.4625
24,2376,0.297742,-1,-1,56.175
25,2475,0.27334,-1,-1,56.3875
26,2574,0.252739,-1,-1,56.175
27,2673,0.238423,-1,-1,56.4
28,2772,0.223601,-1,-1,56.1125
29,2871,0.214008,-1,-1,56.2125
30,2970,0.198911,-1,-1,56.225
31,3069,0.187784,-1,-1,56.1875
32,3168,0.178197,-1,-1,56.2
33,3267,0.171014,-1,-1,56.2625
34,3366,0.16671,-1,-1,56.2625
35,3465,0.158173,-1,-1,56.3875
36,3564,0.155671,-1,-1,56.2125
37,3663,0.150302,-1,-1,56.3
38,3762,0.147,-1,-1,56.2375
39,3861,0.141885,-1,-1,56.225
40,3960,0.139658,-1,-1,56.175
41,4059,0.136869,-1,-1,56.275
42,4158,0.134261,-1,-1,56.15
43,4257,0.133542,-1,-1,56.225
44,4356,0.132327,-1,-1,56.275
45,4455,0.131522,-1,-1,56.275
46,4554,0.13027,-1,-1,56.25
47,4653,0.12977,-1,-1,56.2625
48,4752,0.129392,-1,-1,56.2125
49,4851,0.13143,-1,-1,56.2125
50,4950,0.127834,0.339257,97.936855,56.2
