Dataset,Method,Model,DataSource,Init,Shots,Seed,Retrieve,temp_scheme,temp,hold1,hold2,hold3,hold4,Stage1Acc,Stage2LPAcc,Stage2FSFTAcc
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.01,0.01,0.8,0.0,0.0,54.8,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.02,0.01,0.8,0.0,0.0,55.4,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.03,0.01,0.8,0.0,0.0,56.1,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.04,0.01,0.8,0.0,0.0,56.4,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.05,0.01,0.8,0.0,0.0,56.8,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.06,0.01,0.8,0.0,0.0,56.8,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.07,0.01,0.8,0.0,0.0,56.7,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.08,0.01,0.8,0.0,0.0,56.6,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.09,0.01,0.8,0.0,0.0,56.6,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.1,0.01,0.8,0.0,0.0,56.5,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.2,0.01,0.8,0.0,0.0,55.2,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.3,0.01,0.8,0.0,0.0,53.9,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.4,0.01,0.8,0.0,0.0,52.6,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.5,0.01,0.8,0.0,0.0,51.3,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.6,0.01,0.8,0.0,0.0,50.0,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.7,0.01,0.8,0.0,0.0,48.7,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.8,0.01,0.8,0.0,0.0,48.2,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,0.9,0.01,0.8,0.0,0.0,47.3,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,1.0,0.01,0.8,0.0,0.0,46.5,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,2.0,0.01,0.8,0.0,0.0,43.6,-1,-1
semi-aves,finetune,vitb32_openclip_laion400m,fewshot,REAL-Prompt,16,3,T2T500.txt,fewshot+retrieved+unlabeled,3.0,0.01,0.8,0.0,0.0,42.1,-1,-1
